"replicate" "day" "dilution" "initial_density" "value" "extinction"
"rep_3" 3 1000 "dens_1" 1.287214 FALSE
"rep_4" 3 1000 "dens_1" 1.3655964 FALSE
"rep_5" 3 1000 "dens_1" 1.3050174 FALSE
"rep_6" 3 1000 "dens_1" 1.4239343 FALSE
"rep_7" 3 1000 "dens_1" 1.2734814 FALSE
"rep_8" 3 1000 "dens_1" 1.3492522 FALSE
"rep_1" 3 1133 "dens_1" 1.2006168 FALSE
"rep_2" 3 1133 "dens_1" 1.3169796 FALSE
"rep_3" 3 1133 "dens_1" 1.3655964 FALSE
"rep_4" 3 1133 "dens_1" 1.3966259 FALSE
"rep_5" 3 1133 "dens_1" 1.4218196 FALSE
"rep_6" 3 1133 "dens_1" 1.3903793 FALSE
"rep_7" 3 1133 "dens_1" 1.3841532 FALSE
"rep_8" 3 1133 "dens_1" 1.4218196 FALSE
"rep_1" 3 1266 "dens_1" 1.0927475 FALSE
"rep_2" 3 1266 "dens_1" 1.3411325 FALSE
"rep_3" 3 1266 "dens_1" 1.2176233 FALSE
"rep_4" 3 1266 "dens_1" 1.3010466 FALSE
"rep_5" 3 1266 "dens_1" 1.3655964 FALSE
"rep_6" 3 1266 "dens_1" 1.3883017 FALSE
"rep_7" 3 1266 "dens_1" 1.2138309 FALSE
"rep_8" 3 1266 "dens_1" 1.1763174 FALSE
"rep_1" 3 1400 "dens_1" 0.93588715 FALSE
"rep_2" 3 1400 "dens_1" 1.0280976 FALSE
"rep_3" 3 1400 "dens_1" 1.1052299 FALSE
"rep_4" 3 1400 "dens_1" 1.1763174 FALSE
"rep_5" 3 1400 "dens_1" 1.238618 FALSE
"rep_6" 3 1400 "dens_1" 1.0349816 FALSE
"rep_7" 3 1400 "dens_1" 1.0821131 FALSE
"rep_8" 3 1400 "dens_1" 1.1652062 FALSE
"rep_1" 3 1600 "dens_1" 0.59658105 FALSE
"rep_2" 3 1600 "dens_1" 0.8589146 FALSE
"rep_3" 3 1600 "dens_1" 0.9991154 FALSE
"rep_4" 3 1600 "dens_1" 0.87469542 FALSE
"rep_5" 3 1600 "dens_1" 0.91149657 FALSE
"rep_6" 3 1600 "dens_1" 0.9066558 FALSE
"rep_7" 3 1600 "dens_1" 0.89380706 FALSE
"rep_8" 3 1600 "dens_1" 0.89701111 FALSE
"rep_1" 4 250 "dens_1" 1.6818803 FALSE
"rep_2" 4 250 "dens_1" 1.743454 FALSE
"rep_3" 4 250 "dens_1" 1.735959 FALSE
"rep_4" 4 250 "dens_1" 1.7409524 FALSE
"rep_5" 4 250 "dens_1" 1.7610584 FALSE
"rep_6" 4 250 "dens_1" 1.7062709 FALSE
"rep_7" 4 250 "dens_1" 1.6673948 FALSE
"rep_8" 4 250 "dens_1" 1.7210569 FALSE
"rep_1" 4 500 "dens_1" 1.5621371 FALSE
"rep_2" 4 500 "dens_1" 1.5781324 FALSE
"rep_3" 4 500 "dens_1" 1.5666935 FALSE
"rep_4" 4 500 "dens_1" 1.6035431 FALSE
"rep_5" 4 500 "dens_1" 1.5758391 FALSE
"rep_6" 4 500 "dens_1" 1.5575917 FALSE
"rep_7" 4 500 "dens_1" 1.5621371 FALSE
"rep_8" 4 500 "dens_1" 1.5171646 FALSE
"rep_1" 4 750 "dens_1" 1.4624058 FALSE
"rep_2" 4 750 "dens_1" 1.4950714 FALSE
"rep_3" 4 750 "dens_1" 1.5082965 FALSE
"rep_4" 4 750 "dens_1" 1.5417677 FALSE
"rep_5" 4 750 "dens_1" 1.5038779 FALSE
"rep_6" 4 750 "dens_1" 1.5127254 FALSE
"rep_7" 4 750 "dens_1" 1.4994695 FALSE
"rep_8" 4 750 "dens_1" 1.473232 FALSE
"rep_1" 4 1000 "dens_1" 1.3189807 FALSE
"rep_2" 4 1000 "dens_1" 1.3411325 FALSE
"rep_3" 4 1000 "dens_1" 1.3431592 FALSE
"rep_4" 4 1000 "dens_1" 1.29313 FALSE
"rep_5" 4 1000 "dens_1" 1.3492522 FALSE
"rep_6" 4 1000 "dens_1" 1.3924592 FALSE
"rep_7" 4 1000 "dens_1" 1.3820824 FALSE
"rep_8" 4 1000 "dens_1" 1.2482383 FALSE
"rep_1" 4 1133 "dens_1" 1.2832803 FALSE
"rep_2" 4 1133 "dens_1" 1.2214233 FALSE
"rep_3" 4 1133 "dens_1" 1.2832803 FALSE
"rep_4" 4 1133 "dens_1" 1.2715277 FALSE
"rep_5" 4 1133 "dens_1" 1.2990644 FALSE
"rep_6" 4 1133 "dens_1" 1.3050174 FALSE
"rep_7" 4 1133 "dens_1" 1.2990644 FALSE
"rep_8" 4 1133 "dens_1" 1.2195224 FALSE
"rep_1" 4 1266 "dens_1" 0.80011512 FALSE
"rep_2" 4 1266 "dens_1" 0.99235984 FALSE
"rep_3" 4 1266 "dens_1" 1.0332583 FALSE
"rep_4" 4 1266 "dens_1" 1.0075938 FALSE
"rep_5" 4 1266 "dens_1" 1.0785815 FALSE
"rep_6" 4 1266 "dens_1" 1.1177949 FALSE
"rep_7" 4 1266 "dens_1" 1.145003 FALSE
"rep_8" 4 1266 "dens_1" 1.0998703 FALSE
"rep_1" 4 1400 "dens_1" 0.78191865 FALSE
"rep_2" 4 1400 "dens_1" 0.87786737 FALSE
"rep_3" 4 1400 "dens_1" 1.0008081 FALSE
"rep_4" 4 1400 "dens_1" 1.0980871 FALSE
"rep_5" 4 1400 "dens_1" 1.1596749 FALSE
"rep_6" 4 1400 "dens_1" 0.93425133 FALSE
"rep_7" 4 1400 "dens_1" 0.9991154 FALSE
"rep_8" 4 1400 "dens_1" 1.0980871 FALSE
"rep_1" 4 1600 "dens_1" 0.59247885 FALSE
"rep_2" 4 1600 "dens_1" 0.78191865 FALSE
"rep_3" 4 1600 "dens_1" 0.90504495 FALSE
"rep_4" 4 1600 "dens_1" 0.81541311 FALSE
"rep_5" 4 1600 "dens_1" 0.93916301 FALSE
"rep_6" 4 1600 "dens_1" 0.88741513 FALSE
"rep_7" 4 1600 "dens_1" 0.87628073 FALSE
"rep_8" 4 1600 "dens_1" 0.94244453 FALSE
"rep_1" 5 250 "dens_1" 1.8357799 FALSE
"rep_2" 5 250 "dens_1" 1.8675798 FALSE
"rep_3" 5 250 "dens_1" 1.8917839 FALSE
"rep_4" 5 250 "dens_1" 1.8595798 FALSE
